epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4822.71,0.87153,0.66394,1.10355,0.91195,0.71665,0.78597,0.5975,0.79685,0.54244,1.02005,0.00067825,0.00067825,0.00067825
67,4895.4,0.86765,0.64291,1.09908,0.90905,0.69637,0.7781,0.59323,0.77674,0.55044,1.00104,0.0006733,0.0006733,0.0006733
68,4968.2,0.84057,0.64734,1.08692,0.94779,0.70389,0.7872,0.60071,0.80022,0.53097,1.00863,0.00066835,0.00066835,0.00066835
69,5042.16,0.85328,0.64888,1.09166,0.90519,0.73946,0.79153,0.611,0.76562,0.52086,1.00504,0.0006634,0.0006634,0.0006634
70,5116.66,0.85285,0.64888,1.09568,0.93694,0.72149,0.79996,0.61438,0.77456,0.52875,1.00551,0.00065845,0.00065845,0.00065845
71,5190.53,0.85576,0.64429,1.10437,0.91703,0.73353,0.79352,0.61132,0.74548,0.50913,0.97881,0.0006535,0.0006535,0.0006535
72,5264.06,0.8414,0.631,1.08252,0.92716,0.71507,0.79536,0.6191,0.70983,0.51403,0.98106,0.00064855,0.00064855,0.00064855
73,5337.94,0.83066,0.61716,1.07724,0.89916,0.72379,0.79383,0.62494,0.70707,0.52925,0.96036,0.0006436,0.0006436,0.0006436
74,5412.48,0.8433,0.62999,1.0743,0.93,0.71022,0.79921,0.61803,0.73876,0.52767,0.98149,0.00063865,0.00063865,0.00063865
75,5486.3,0.82631,0.6136,1.07219,0.91257,0.72665,0.79743,0.61001,0.76482,0.51292,0.98723,0.0006337,0.0006337,0.0006337
76,5559.89,0.81899,0.61729,1.07597,0.94727,0.70572,0.79377,0.61548,0.74065,0.51849,0.97391,0.00062875,0.00062875,0.00062875
77,5633.84,0.83107,0.61636,1.08001,0.93537,0.71751,0.79497,0.61876,0.72358,0.5056,0.95573,0.0006238,0.0006238,0.0006238
78,5706.85,0.82109,0.61044,1.07741,0.92622,0.73104,0.80623,0.62712,0.71741,0.49091,0.96771,0.00061885,0.00061885,0.00061885
79,5780.06,0.80615,0.59816,1.06863,0.9114,0.73119,0.7933,0.62456,0.70663,0.51805,0.96245,0.0006139,0.0006139,0.0006139
80,5853.18,0.80897,0.611,1.07056,0.93089,0.70269,0.78864,0.61267,0.72842,0.53332,0.97144,0.00060895,0.00060895,0.00060895
81,5926.14,0.78629,0.58515,1.05256,0.90295,0.74163,0.79765,0.62119,0.7214,0.50656,0.96966,0.000604,0.000604,0.000604
82,5999.44,0.79068,0.58575,1.06155,0.91715,0.72645,0.79623,0.63464,0.66977,0.49835,0.96424,0.00059905,0.00059905,0.00059905
83,6072.6,0.80066,0.59562,1.06394,0.91786,0.71402,0.80172,0.63757,0.65904,0.49743,0.9624,0.0005941,0.0005941,0.0005941
84,6145.23,0.79753,0.60747,1.06842,0.90146,0.73811,0.80071,0.63299,0.70484,0.50434,0.96662,0.00058915,0.00058915,0.00058915
85,6218.48,0.79068,0.58616,1.06398,0.92391,0.71934,0.8016,0.63116,0.68705,0.49046,0.96173,0.0005842,0.0005842,0.0005842
86,6291.99,0.79056,0.58309,1.05958,0.9326,0.71748,0.79622,0.62681,0.69565,0.49808,0.95717,0.00057925,0.00057925,0.00057925
87,6364.95,0.77974,0.57934,1.05304,0.94026,0.72183,0.79654,0.62684,0.70035,0.48438,0.95917,0.0005743,0.0005743,0.0005743
88,6437.68,0.78243,0.58427,1.05711,0.89832,0.73217,0.80277,0.6349,0.69267,0.49297,0.9567,0.00056935,0.00056935,0.00056935
89,6510.56,0.79967,0.59409,1.06385,0.93654,0.72525,0.8054,0.63778,0.67441,0.48045,0.95623,0.0005644,0.0005644,0.0005644
90,6583.65,0.77862,0.57534,1.04929,0.91931,0.72949,0.80099,0.62652,0.70019,0.49321,0.96592,0.00055945,0.00055945,0.00055945
91,6656.57,0.7655,0.56106,1.04744,0.91459,0.73733,0.80673,0.63712,0.66202,0.4856,0.95571,0.0005545,0.0005545,0.0005545
92,6729.82,0.77581,0.57265,1.04865,0.91879,0.74085,0.80159,0.63793,0.67903,0.48551,0.95421,0.00054955,0.00054955,0.00054955
93,6803.35,0.76545,0.57732,1.04128,0.90484,0.73601,0.8001,0.62973,0.69257,0.48065,0.96464,0.0005446,0.0005446,0.0005446
94,6877.07,0.76241,0.57101,1.04918,0.93745,0.72362,0.8024,0.63611,0.66939,0.48146,0.96243,0.00053965,0.00053965,0.00053965
95,6950.39,0.74604,0.54882,1.03095,0.93222,0.73279,0.79716,0.63018,0.67925,0.48578,0.96467,0.0005347,0.0005347,0.0005347
96,7023.85,0.76298,0.56606,1.04639,0.92316,0.735,0.80438,0.62896,0.69357,0.47778,0.96667,0.00052975,0.00052975,0.00052975
